Informazioni cronologiche,Genere ,Età,Grado di istruzione ,Quanto tempo trascorri in media giocando ai videogiochi ogni giorno?,Quale stile di videogioco preferisci di più?,"Se hai premuto ""Altro"" rispondi qui ",Credi che i videogiochi siano una forma d'arte?,"Se hai premuto ""Dipende"" puoi specificare qui",C’è un videogioco che ti ha insegnato qualcosa di utile per la tua formazione scolastica e professionale?”  ,Se hai premuto “Sì” scrivi quale videogioco ti è stato più utile ,"
Qual è il dispositivo che preferisci utilizzare per giocare?","Se hai premuto ""Altro"" rispondi qui ","
Quali videogiochi ritieni ti abbiano arricchito culturalmente riguardo alla mitologia o alla storia?","Se hai premuto ""Altro"" rispondi qui ",Pensi che sia possibile utilizzare i videogiochi che non sono stati concepiti per scopi didattici come strumenti formativi?,"Se hai premuto ""Dipende"" puoi specificare qui","
Credi che i videogiochi online possano facilitare la connessione tra le persone e offrire un'alternativa alla socialità tradizionale?","Sei hai premuto ""Dipende"" puoi specificare qui ",Hai mai pensato di creare un gioco?,"Pensi che un videogioco ti abbia ispirato ad approfondire conoscenze su un argomento ( per esempio letterario, culturale, storico, sociale, scientifico, artistico, o ecc.) ?","Hai mai imparato un'altra lingua o migliorato le tue competenze linguistiche grazie ai videogiochi, sia online che in modalità single player?",Sei hai premuto Altro specifica qui,"Secondo te, è possibile paragonare l'importanza narrativa di un videogioco a quella di media più tradizionali come libri, film o prodotti di animazione?  ",Credi che i videogiochi ti abbiano insegnato a risolvere problemi in modo creativo e originale (problem solving)?,Pratichi attività fisica ?,"Pensi che gli Esport (Sport elettronici) possano essere considerati una pratica professionale (ad esempio, league of legends, counter-strike, street fighter,  StarCraft,  Assetto corsa) ?","Hai migliorato le tue abilità sociali grazie ai videogiochi? (ad esempio comunicazione, espressione, empatia ecc.)",Frequenti amici che non usano videogiochi o preferisci la compagnia di chi condivide come te questa passione?
29/02/2024 21.13.27,Donna,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,PC,,"Assassin's creed (saga), Age of Empire",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,Si,Preferisco la compagnia di chi videogioca
29/02/2024 21.15.40,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,Tutti quelli con audio in Inglese,PC,,Age of Empire,,Dipende (Specifica),"Ambientazioni a tema storico, in alcuni casi sono accurate",Dipende (specifica),Tendono ad essere relazioni più effimere di quelle di persona. Partite preparati,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
29/02/2024 21.18.02,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,Football Manager ,PC,,Age of Empire,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Preferisco la compagnia di chi videogioca
29/02/2024 21.20.11,Donna,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Non saprei,,PC,,Age of Empire,,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,No,Si,Preferisco la compagnia di chi videogioca
29/02/2024 21.20.37,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,,"Console, PC, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire",,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Meno di una volta a settimana,No,Si,Non ho preferenze
29/02/2024 21.23.10,Uomo,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Single player,,Dipende (specifica),"È un discorso abbastanza complesso ma interessante, quindi proverò ad essere sintetico. Per definire qualcosa un'opera d'arte penso (e non solo io) che il primo passo stia nell'intenzionalità di chi produce l'opera stessa. Non credo che tutti gli addetti ai lavori ricerchino necessariamente l'impronta artistica in senso accademico nei loro lavori. Mi incuriosisce osservare, però, che negli ultimi anni il binomio ""arte-videogiochi"" sia sempre più stretto (basti pensare a quante volte si utilizzino termini come ""opera"", ""autore"" ecc.), il che è affascinante. In sintesi, un videogioco può essere arte ma non è detto che debba esserlo (scusa, ho il vizio di saltare da un argomento all'altro, non odiarmi!)",Si,"In generale, tutti i videogiochi dell'era ps1 non adattati in italiano sono stati fondamentali per l'apprendimento dell'inglese sin dalle elementari. Successivamente, invece, il brand Pokémon ha contribuito ad appassionarmi alle enciclopedie e ai bestiari - Pokédex - sui quali ho scritto le mie due tesi di laurea",Console,,"Assassin's creed (saga), Age of Empire",,Si,,Dipende (specifica),Penso che siano un buon punto di partenza o un modo per rafforzare quanto già si vive nella quotidianità. Considerare l'online come un surrogato dei veri rapporti sociali credo non sia un'ottima idea,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 21.23.27,Donna,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Non saprei,,"Console, PC",,Age of Empire,,Si,,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Preferisco la compagnia di chi videogioca
29/02/2024 21.34.33,Uomo,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,Console,,"God of War (saga Greca), God of war (saga norrena)",,Si,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,No,Non ho preferenze
29/02/2024 21.35.53,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Entrambi,,Si,,Non saprei,,PC,,"Assassin's creed (saga), Age of Empire",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Preferisco la compagnia di chi videogioca
29/02/2024 21.42.31,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Single player,,Si,,Non saprei,,"Console, Console portatili, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Preferisco la compagnia di chi videogioca
29/02/2024 21.48.44,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Non saprei,,"Console, PC",,Age of Empire,,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,Si,No,Non ho preferenze
29/02/2024 21.54.57,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,2-3 ore,Single player,,Si,,No,,PC,,"Assassin's creed (saga), Age of Empire",,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si ogni settimana,Si,No,Non ho preferenze
29/02/2024 21.55.00,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Dipende (specifica),Ho messo dipende perche ritengo forma d'arte i videgiochi con una trama e personaggi ben fatti oggettivamente (esempio The Last of Us),Si,Baldur's Gate (Saga) e Planescape Torment per migliorare la lingua inglese,Console,,"God of War (saga Greca), Sid Meier's Civilization",,Dipende (Specifica),Credo che sotto questo punto di vista sia necessario un insegnante favorevole e aperto a questo tipo di eventualità ,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,No,Non ho preferenze
29/02/2024 21.57.56,Donna,Millennials (1981-1996),Diploma o licenza superiore,4-6 ore,Single player,,Si,,No,,"Console, Console portatili, PC",,Assassin's creed (saga),,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Preferisco la compagnia di chi videogioca
29/02/2024 21.58.10,Uomo,Generazione X (1965-1980),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,No,,PC,,Sid Meier's Civilization,,Si,,No,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,No,Meno di una volta a settimana,No,No,Non ho preferenze
29/02/2024 21.59.53,Uomo,Generazione X (1965-1980),Laurea o superiore,Meno di un’ora,Single player,,Si,,Non saprei,,"PC, VR",,"Assassin's creed (saga), Age of Empire",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,No,No,Non ho preferenze
29/02/2024 22.03.42,Donna,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,Si,,Si,Assassin’s Creed,"Console, PC",,Assassin's creed (saga),,Si,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
29/02/2024 22.11.17,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,La calma nell’ accettare la presenza di una sfida che a volte non si è pronti a fronteggiare,PC,,"God of War (saga Greca), God of war (saga norrena)",Rome total war / Medieval War 2 / Shogun 2 / Medal of honor,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Preferisco la compagnia di chi videogioca
29/02/2024 22.17.59,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,Si,"Tutti i videogiochi giocati in inglese, alcuni con chat online",Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 22.32.39,Donna,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,manualità e capacità di immedesimazione,"Console, PC",,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization",,Dipende (Specifica),contestualizzandoli... restano comunque romanzati ma possono essere utili a catturare l'attenzione,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,Si,Preferisco la compagnia di chi videogioca
29/02/2024 22.45.31,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Single player,,Si,,Non saprei,,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 22.52.22,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Single player,,Si,,Non saprei,,"Console, PC",,Assassin's creed (saga),,No,,No,,Si,Si,Si ho imparato un'altra lingua,,Si,No,Mai o quasi mai,No,Si,Non ho preferenze
29/02/2024 23.05.53,Donna,Millennials (1981-1996),Laurea o superiore,2-3 ore,Entrambi,,Si,,Si,"Essendo un programmatore molti giochi hanno allenato la logica. A partire da uno dei miei primi giochi da bambina ""zoombinis"" a tanto altri ","PC, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire",,Si,,Si,,Si,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
29/02/2024 23.09.04,Uomo,Millennials (1981-1996),licenza media,2-3 ore,Single player,,Si,,No,,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca)",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
29/02/2024 23.10.20,Uomo,Millennials (1981-1996),Laurea o superiore,4-6 ore,Single player,,Si,,Si,Red dead redemption 2 ,Console portatili,,Assassin's creed (saga),,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
29/02/2024 23.18.39,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,Console,,Assassin's creed (saga),,Si,,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,No,No,Non ho preferenze
29/02/2024 23.38.19,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,Si,"Direi qualsiasi gioco online, come League of Legends o Neverwinter MMO per accrescere la mia padronanza della lingua inglese, specie per quanto riguarda la sicurezza nel parlarlo",PC,,"Assassin's creed (saga), Hades",,Si e li utilizzo,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
29/02/2024 23.49.16,Uomo,Baby boomers (1946-1964),Laurea o superiore,2-3 ore,Entrambi,,Si,,No,,PC,,Assassin's creed (saga),,Si,,Si,,No,Si,No non ho imparato un altra lingua,,No,Si,Si ogni settimana,Si,No,Non ho preferenze
29/02/2024 23.57.38,Uomo,Millennials (1981-1996),formazione professionalizzante,4-6 ore,Single player,,Si,,Non saprei,,Console,,"Assassin's creed (saga), God of War (saga Greca)",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
01/03/2024 0.10.09,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,"Console, PC, Smartphone /Tablet",,God of war (saga norrena),,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
01/03/2024 0.56.41,Uomo,Millennials (1981-1996),Laurea o superiore,4-6 ore,Single player,,Si,,Si,Tutti i giochi di ruolo ,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades, Age of Empire, Altro (specifica)","Age of Mythology, Cesar 3",Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
01/03/2024 1.04.22,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Non saprei,,PC,,"God of War (saga Greca), Age of Empire, Ryse son of rome",,Si,,Si,,No,Si,No non ho imparato un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
01/03/2024 1.23.52,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Entrambi,,Dipende (specifica),In alcuni caso possono esserlo,Non saprei,,PC,,Altro (specifica),Non gioco per arricchire le mie conoscenze. ,No,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Preferisco la compagnia di chi videogioca
01/03/2024 6.49.40,Uomo,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Entrambi,,Si,,Non saprei,,Console,,Assassin's creed (saga),,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
01/03/2024 6.51.01,Uomo,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Single player,,Dipende (specifica),"Molti si, alcuni sono solo delle macchine per soldi uguali al predecessore ",Non saprei,,PC,,Assassin's creed (saga),,Si,,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
01/03/2024 7.13.44,Donna,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Si,Life is strange,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Mai o quasi mai,Si,No,Non ho preferenze
01/03/2024 7.23.24,Donna,Millennials (1981-1996),Diploma o licenza superiore,4-6 ore,Multiplayer Online,,Si,,Si,"League of Legends sicuramente mi ha insegnato l'inglese, ma in generale tanti giochi l'hanno fatto ",PC,,"God of War (saga Greca), Age of Empire, Immortals fenyx rising",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Preferisco la compagnia di chi videogioca
01/03/2024 7.25.40,Donna,Generazione X (1965-1980),Laurea o superiore,2-3 ore,Single player,,Si,,Si,Tutti ,Console,,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
01/03/2024 7.29.23,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,Console,,Nessuno,,No,,Mi astengo dal giudizio,,L'ho fatto,Si,No non gioco ai videogiochi,,Si,Non gioco ai videogiochi,Meno di una volta a settimana,Si,Non gioco ai videogiochi,Non gioco ai videogiochi
01/03/2024 7.45.46,Preferisco non specificarlo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,Si,Limbus Company. Mi ha aiutato ad appassionarmi alla letteratura,PC,,Altro (specifica),Shin Megami Tensei,Si,,No,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,No,Si,Preferisco la compagnia di chi non videogioca
01/03/2024 7.59.27,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Non saprei,,"Console, Smartphone /Tablet",,Sid Meier's Civilization,,Si,,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si ogni settimana,No,No,Preferisco la compagnia di chi videogioca
01/03/2024 8.01.25,Uomo,Millennials (1981-1996),licenza media,2-3 ore,Single player,,Si,,Si,Civilation,Console portatili,,Sid Meier's Civilization,,Si,,Dipende (specifica),"Giochi cooperativi si, ma i pvp no",No,Si,No non ho imparato un altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
01/03/2024 8.09.52,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"PC, Smartphone /Tablet",,Nessuno,,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
01/03/2024 8.10.40,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Non saprei,,Console,,Nessuno,,No,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
01/03/2024 8.42.59,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Single player,,Si,,Non saprei,,Console,,Nessuno,,Si,,Dipende (specifica),"Si, basta non abusarne",No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
01/03/2024 8.55.01,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Single player,,Si,,Si,assassin's creed e cod per la storia,Console,,"Assassin's creed (saga), God of War (saga Greca), Ryse son of rome",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
01/03/2024 9.19.17,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,Si,"Tutti gli strategici, ti aiutano a risolvere problemi ","Console, PC",,"God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si tutti i giorni,Si,No,Non ho preferenze
01/03/2024 9.31.24,Donna,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Si,"World of warcraft. Mi ha insegnato l'inglese, che non avevo studiato ancora a scuola.",Console,,Assassin's creed (saga),,Dipende (Specifica),"Potrebbero essere utilizzati in più, come incentivo, per accattivare e creare interesse per gli argomenti trattati, cosicché un ragazzo voglia poi approfondire. Sicuramente non da prendere come verità assoluta ecco.",Dipende (specifica),"Potrebbe essere così, ma per la mia esperienza le community di giocatori online sono perlopiù tossiche, zeppe di persone che posseggono verità assolute e che credono che eccellere nel tale videogioco e farne un'ossessione sia una condizione essenziale e di vitale importanza. Purtroppo queste persone rendono spesso spiacevole e anche difficile avere esperienze serene online.",No,Si,Si ho imparato un'altra lingua,,Si,No,Mai o quasi mai,Si,No,Preferisco la compagnia di chi videogioca
01/03/2024 9.52.32,Donna,Millennials (1981-1996),licenza media,4-6 ore,Entrambi,,Si,,Non saprei,,"Console, PC, Smartphone /Tablet",,Assassin's creed (saga),,Si,,Si,,No,No,Si ho imparato un'altra lingua,,Si,Si,Mai o quasi mai,No,Si,Non ho preferenze
01/03/2024 9.53.28,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Altro,Couch multiplayer ,Si,,Si,Adventures of Lolo 2,Console,,Altro (specifica),The Battle of Olympus,Si,,Dipende (specifica),"Può essere un'alternativa ad una serata con amici di presenza, ma non è certo il modo migliore per conoscere persone.",Si,Si,Si ho imparato un'altra lingua,,No,Si,Mai o quasi mai,Si,No,Non ho preferenze
01/03/2024 10.19.11,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,Praticamente tutti aiutandomi nella coordinazione mano occhio e nella manualità in generale e facendo l anestesista in sala operatoria e il rianimatore,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Age of Empire, Sid Meier's Civilization",,Si,,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
01/03/2024 10.49.04,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,"Tutti i giochi in inglese, dalle elementari alle medie ","Console, Smartphone /Tablet",,Altro (specifica),Final fantasy ,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
01/03/2024 10.50.44,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Si,,PC,,"God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,No,Si,No non ho imparato un altra lingua,,No,No,Mai o quasi mai,Si,Si,Non ho preferenze
